epoch,train_loss,val_miou_canonical,seconds
1,0.7014,0.4172,880.0
2,0.6503,0.4205,878.1
3,0.6454,0.4218,872.1
4,0.6437,0.4246,855.5
5,0.6419,0.4223,844.1
6,0.6406,0.4198,830.0
7,0.6398,0.4217,834.8
8,0.6386,0.4215,839.0
