affordance,canonical,question,description
grasp,0.4255166430828926,0.0,0.003791060005464534
contain,0.4391318014634296,0.0004609663450224013,0.002504754600535952
sittable,0.5960676577055608,0.019993261084759073,0.21810726760044993
pourable,0.4153577504305665,0.0,0.0
cut,0.5518172070635627,0.43207149310010684,0.37131640662938126
