epoch,train_loss,val_miou_canonical,seconds
1,0.7206,0.4125,902.2
2,0.6698,0.4107,868.1
3,0.6635,0.4183,858.7
4,0.6618,0.4207,859.3
5,0.6601,0.4146,857.8
6,0.6577,0.4169,861.0
7,0.6558,0.4179,817.4
8,0.6555,0.4137,701.5
