class,query,iou
grasp,grasp,0.000000
contain,contain,0.000000
lift,lift,0.000000
openable,openable,0.000000
layable,layable,0.000000
sittable,sittable,0.000000
support,support,0.000000
wrap_grasp,wrap_grasp,0.000000
pourable,pourable,0.000000
move,move,0.000000
displaY,displaY,0.000000
pushable,pushable,0.000000
pull,pull,0.000000
listen,listen,0.000000
wear,wear,0.000000
press,press,0.000000
cut,cut,0.000000
stab,stab,0.000000
none,none,0.430382
