class,query,iou
grasp,grasp,0.018504
contain,contain,0.025608
lift,lift,0.000218
openable,openable,0.011353
layable,layable,0.001483
sittable,sittable,0.028905
support,support,0.038704
wrap_grasp,wrap_grasp,0.019095
pourable,pourable,0.012628
move,move,0.043919
displaY,displaY,0.014132
pushable,pushable,0.001869
pull,pull,0.000416
listen,listen,0.002843
wear,wear,0.003618
press,press,0.002159
cut,cut,0.003655
stab,stab,0.000435
none,none,0.049549
